Dist.,Representative,Ho`okipa,Party,Areas Represented
1,Mark Nakashima,+,Dem,"Hāmākua, North and South Hilo"
2,Chris Toshiro Todd,+,Dem,"Keaukaha, parts of Hilo, Pana`ewa, Waiakea"
3,Richard Onishi,+,Dem,"Hilo, Kea`au, Kurtistown, Puna"
4,Joy San Buenaventura,+,Dem,Puna
5,Richard Creagan,++,Dem,"Na'alehu, Ocean View, Captain Cook, Kailua-Kona"
6,Nicole Lowen,++,Dem,"North Kona, Holualoa, Kalaoa, Honokōhau"
7,Cindy Evans,+/-,Dem,"North Kona, North Kohala, South Kohala"
8,Troy Hashimoto,+,Dem,"Kahakuloa, Waihe`e, Waiehu, Pu`uohala, Wailuku, Kahului"
9,Justin Woodson,+,Dem,"Kahului, Pu`unēnē, Old Sand Hills, Maui Lani"
10,Angus McKelvey,+,Dem,"West Maui, Mā`alaea, North Kīhei"
11,Kaniela Ing,++,Dem,"Kīhei, Wailea, Makena"
12,Kyle Yamashita,+,Dem,"Sprecklesville, Pukalani, Makawao, Kula, Keokea, Ulupalakua, Kahului"
13,Lynn DeCoite,+,Dem,"Kalawao, Haiku, Hāna, Kaupo, Kīpahulu, Nahiku, Pā`ia, Kaho`olawe, Lāna`i, Moloka`i, Molokini"
14,Nadine Nakamura,+,Dem,"Hanalei, Princeville, Kīlauea, Anahola, Kapa`a, Wailua"
15,James Tokioka,+/-,Dem,"Wailuā Homesteads, Hanamā`ulu, Līhu`e, Puhi, Old Kōloa Town, `Ōma`o"
16,Dee Morikawa,+,Dem,"Ni`ihau, Lehua, Kōloa, Waimea"
17,Gene Ward,-,Rep,"Honolulu, Hawai`i Kai, Kalama Valley"
18,Mark Hashem,+/-,Dem,"Haha`ione, Kuliouou, Niu Valley, `Āina Haina, Wai`alae, Kāhala"
19,Bertrand Kobayashi,+,Dem,"Wai`alae-Kāhala, Diamond Head, Kaimuki, Kapahulu"
20,Calvin K.Y. Say,+,Dem,"St. Louis Heights, Pālolo Valley, Maunalani Heights, Wilhelmina Rise, Kaimukī"
21,Scott Nishimoto,+,Dem,"Mō`ili`ili, McCully, Kaimukī"
22,Tom Brower,++,Dem,"Waikīkī, Ala Moana"
23,Isaac Choy,+/-,Dem,"Mānoa, Punahou, University, Mō`ili`ili"
24,Della Au Belatti,+,Dem,"Makiki, Tantalus, Papakōlea, McCully, Pawa`a, Manoa"
25,Sylvia Luke,+/-,Dem,"Makiki, Punchbowl, Nu`uanu, Dowsett Highlands, Pacific Heights, Pauoa"
26,Scott Saiki,+,Dem,"McCully, Kaheka, Kaka`ako, Downtown Honolulu"
27,Takashi Ohno,+,Dem,"Nu`uanu, Liliha, Pauoa, `Ālewa Heights"
28,John Mizuno,+,Dem,"Kalihi Valley, Kamehameha Heights, portion of lower Kalihi"
29,Daniel Holt,+,Dem,"Kalihi, Kapālama, Iwilei, Chinatown"
30,Romy Cachola,+,Dem,"Sand Island, Mokauea, Kapalama, Kalihi Kai"
31,Aaron Johanson,+,Dem,"Moanalua, Red Hill, Foster Village, `Aiea, Fort Shafter, Moanalua Gardens, Aliamanu, Lower Pearlridge"
32,Linda Ichiyama,+,Dem,"Moanalua Valley, Salt Lake, Aliamanu"
33,Sam Kong,+,Dem,`Aiea
34,Gregg Takayama,+/-,Dem,"Pearl City, Waimalu, Pacific Palisades"
35,Roy Takumi,+,Dem,"Pearl City, Mānana, Waipi`o"
36,Beth Fukumoto,+,Dem,"Mililani, Mililani Mauka"
37,Ryan Yamane,+,Dem,"Mililani, Waipi`o Gentry, Waikele"
38,Henry Aquino,+,Dem,Waipahu
39,Ty Cullen,+,Dem,"Royal Kunia, Village Park, Waipahu, Makakilo, West Loch"
40,Bob McDermott,-,Rep,"`Ewa, `Ewa Beach, `Ewa Gentry, Iroquois Point"
41,Matthew LoPresti,+,Dem,"`Ewa Villages, `Ewa Beach, Ewa Gentry, Ocean Pointe, West Loch"
42,Sharon Har,+/-,Dem,"Kapolei, Makakilo"
43,Andria Tupola,-,Rep,"`Ewa Villages, Kalaeloa, Honokai Hale, Nanakai Gardens, Ko Olina, Kahe Point, Nānākuli, Lualualei, Mā`ili"
44,Cedric Gates,+,Dem,"Wai`anae, Mākaha, Makua, Mā`ili"
45,Lauren Matsumoto,-,Rep,"Schofield, Mokuleia, Waialua, Kunia, Waipi`o Acres, Mililani"
46,Leah Learmont,+,Dem,"Wahiawa, Whitmore Village"
47,Sean Quinlan,+,Dem,"Waialua, Haleiwa, Pupukea, Kahuku, Laie, Hau`ula, Waiāhole, Sunset Beach, Punalu`u, Ka`a`awa"
48,Jarrett Keohokalole,++,Dem,"Kāne`ohe, He`eia, Ahuimanu, Kahalu`u, Ha`ikū Valley, Mokuoloe"
49,Ken Ito,+,Dem,"Kāne`ohe, Maunawili, Olomana"
50,Cynthia Thielen,-,Rep,"Kailua, Kāne`ohe Bay"
51,Chris Lee,+,Dem,"Lanikai, Waimānalo"
